date,symbol,open,high,low,close,volume_USD,volume
2018-02-05 00:00:00,BAT/USD,0.3412,0.3595,0.271,0.2918,117303.92,383211.03
2018-02-06 00:00:00,BAT/USD,0.2918,0.388,0.228,0.358,197289.79,673811.18
2018-02-07 00:00:00,BAT/USD,0.358,0.3859,0.311,0.3389,105202.8,298349.26
2018-02-08 00:00:00,BAT/USD,0.3389,0.397,0.3389,0.37,124620.6,332874.71
2018-02-09 00:00:00,BAT/USD,0.37,0.3973,0.3501,0.389,75604.07,200552.02
2018-02-10 00:00:00,BAT/USD,0.389,0.414,0.25,0.3568,455074.73,1247794.04
2018-02-11 00:00:00,BAT/USD,0.3568,0.361,0.3213,0.3307,180491.95,530574.38
2018-02-12 00:00:00,BAT/USD,0.3307,0.3946,0.3307,0.384,95077.56,261583.71
2018-02-13 00:00:00,BAT/USD,0.384,0.384,0.335,0.3431,69867.7,197497.82
2018-02-14 00:00:00,BAT/USD,0.3431,0.405,0.3417,0.405,180797.3,471086.65
2018-02-15 00:00:00,BAT/USD,0.405,0.44,0.3897,0.4121,301926.86,724640.32
2018-02-16 00:00:00,BAT/USD,0.4121,0.4444,0.4104,0.431,220719.25,516972.32
2018-02-17 00:00:00,BAT/USD,0.431,0.48,0.431,0.4775,161675.28,354027.38
2018-02-18 00:00:00,BAT/USD,0.4775,0.4798,0.401,0.4185,224218.2,512929.45
2018-02-19 00:00:00,BAT/USD,0.4185,0.4384,0.41,0.4294,73083.32,172279.84
2018-02-20 00:00:00,BAT/USD,0.4294,0.4432,0.3802,0.3977,199826.85,480088.45
2018-02-21 00:00:00,BAT/USD,0.3977,0.4075,0.3595,0.3604,163566.7,430089.21
2018-02-22 00:00:00,BAT/USD,0.3604,0.3903,0.3297,0.3436,161876.75,450242.71
2018-02-23 00:00:00,BAT/USD,0.3436,0.369,0.3299,0.3593,71111.95,202220.63
2018-02-24 00:00:00,BAT/USD,0.3593,0.369,0.3297,0.3378,78166.74,220361.84
2018-02-25 00:00:00,BAT/USD,0.3378,0.3811,0.3377,0.3593,197594.01,550969.76
2018-02-26 00:00:00,BAT/USD,0.3593,0.3981,0.3475,0.3654,61942.88,170812.27
2018-02-27 00:00:00,BAT/USD,0.3654,0.439,0.3575,0.364,151240.23,405396.84
2018-02-28 00:00:00,BAT/USD,0.364,0.379,0.3381,0.3382,118492.54,337792.51
2018-03-01 00:00:00,BAT/USD,0.3382,0.4049,0.313,0.38,250311.35,678793.81
2018-03-02 00:00:00,BAT/USD,0.38,0.424,0.367,0.4001,275531.76,692573.91
2018-03-03 00:00:00,BAT/USD,0.4001,0.4195,0.3703,0.38,95709.95,245870.13
2018-03-04 00:00:00,BAT/USD,0.38,0.3846,0.367,0.38,70621.33,187513.16
2018-03-05 00:00:00,BAT/USD,0.38,0.3978,0.3738,0.3738,81326.46,210864.36
2018-03-06 00:00:00,BAT/USD,0.3738,0.3738,0.3301,0.3335,63791.82,182935.47
2018-03-07 00:00:00,BAT/USD,0.3335,0.3504,0.2759,0.3022,127391.76,404212.96
